hole_center_x (mm),hole_center_y (mm),hole_center_z (mm),wall_thickness (mm),hole_r (mm),body_l (mm),body_l_corrected (mm),body_inner_top (mm),body_inner_top_corrected (mm),body_outer_top (mm),body_inner_bottom (mm),body_outer_bottom (mm),guide_l (mm),guide_inner_top (mm),guide_outer_top (mm),guide_inner_bottom (mm),guide_outer_bottom (mm),box_inner_size_x (mm),box_inner_size_y (mm),box_inner_size_z (mm),box_outer_size_x (mm),box_outer_size_y (mm),box_outer_size_z (mm),z_axis_angle (deg),x_axis_angle (deg)
277.002,70.37124,-23.4255,2.0,286.75943484633177,86.63824389569706,84.63824389569706,50.0,48.8988696479715,52.8988696479715,2.3,6.3,3.0,2.3,6.3,4.110978534939955,8.110978534939955,51.2,51.2,10.0,55.2,55.2,16.0,14.254215271792646,-4.670146511340987
242.8831,107.2608,-23.5096,2.0,266.55164748020223,80.05883207988654,78.05883207988654,50.0,48.808376321243294,52.808376321243294,2.3,6.3,3.0,2.3,6.3,4.259808754684775,8.259808754684775,51.2,51.2,10.0,55.2,55.2,16.0,23.826968362455574,-5.040390025897627
201.3326,136.87,-23.62,2.0,244.59377981207945,72.8593981207766,70.8593981207766,50.0,48.69062876635546,52.69062876635546,2.3,6.3,3.0,2.3,6.3,4.453462752188978,8.453462752188978,51.2,51.2,10.0,55.2,55.2,16.0,34.20866325954427,-5.51585126679082
155.0181,158.4473,-23.7553,2.0,222.93602778149162,65.69083674943889,63.69083674943889,50.0,48.54774265756609,52.54774265756609,2.3,6.3,3.0,2.3,6.3,4.688460975135017,8.688460975135017,51.2,51.2,10.0,55.2,55.2,16.0,45.62677044979473,-6.0822913658402085
106.2709,171.9591,-23.9071,2.0,203.55585398123534,59.19930566960202,57.19930566960202,50.0,48.38849461288552,52.38849461288552,2.3,6.3,3.0,2.3,6.3,4.950368922832922,8.950368922832922,51.2,51.2,10.0,55.2,55.2,16.0,58.2838922870865,-6.6985514989735675
56.74056,177.7703,-24.0565,2.0,188.15016849169598,53.96921475351401,51.96921475351401,50.0,48.23232558717582,52.23232558717582,2.3,6.3,3.0,2.3,6.3,5.207212949393228,9.207212949393227,51.2,51.2,10.0,55.2,55.2,16.0,72.29800500153047,-7.28619004489327
7.351419,176.2461,-24.1728,2.0,178.04790194316686,50.49591366254799,48.49591366254799,50.0,48.1107382146299,52.1107382146299,2.3,6.3,3.0,2.3,6.3,5.407182118706176,9.407182118706176,51.2,51.2,10.0,55.2,55.2,16.0,87.61151444724293,-7.731530140786729
-41.7583,167.3279,-24.2224,2.0,174.15253773362016,49.145501948456534,47.145501948456534,50.0,48.058825401762,52.058825401762,2.3,6.3,3.0,2.3,6.3,5.492560738611555,9.492560738611555,51.2,51.2,10.0,55.2,55.2,16.0,104.01249746875573,-7.918313357341816
-89.0623,150.8126,-24.1883,2.0,176.8095230946003,50.06732709352162,48.06732709352162,50.0,48.09456574700301,52.09456574700301,2.3,6.3,3.0,2.3,6.3,5.433780233702586,9.433780233702585,51.2,51.2,10.0,55.2,55.2,16.0,120.5639520507761,-7.789950834233789
-132.361,126.955,-24.0912,2.0,184.97943740708044,52.88324387126575,50.88324387126575,50.0,48.19602594288215,52.19602594288215,2.3,6.3,3.0,2.3,6.3,5.266913307775585,9.266913307775585,51.2,51.2,10.0,55.2,55.2,16.0,136.19428081651466,-7.420275204669703
